lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo
37.65185,127.02805,24.08.08.,쌍문극동,28500,1996,315,4호선,쌍문역,886.0,59.92,"추천,수리,접근성과교통좋음,지하주차유,학군굿","['25년이상', '방세개', '화장실한개', '중층']",계단식,0,5,11,동향,3,1,https://map.kakao.com/?q=서울시 도봉구 쌍문동 721&service=opensearch,https://fin.land.naver.com/articles/2439032708
37.672192,127.051807,24.08.09.,상계중앙하이츠5차,30000,1996,142,7호선,수락산역,893.0,59.99,최근특올수리.방3.인기구조입니다.,"['25년이상', '올수리', '방세개', '화장실한개']",복도식,0.87,11,15,동향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1068&service=opensearch,https://fin.land.naver.com/articles/2439115732
37.65637,127.07286,24.08.06.,염광,35000,1996,791,4호선,상계역,576.0,59.34,"수리굿 전망굿 학군굿 거실 확장 중계초 바로앞, 상계역 도보 7분","['25년이상', '융자금없는', '방세개', '화장실한개']",복도식,0.88,18,25,동향,3,1,https://map.kakao.com/?q=서울시 노원구 중계동 445&service=opensearch,https://fin.land.naver.com/articles/2438557072
37.629297,127.062356,24.08.16.,성원4단지,33000,1995,713,1호선,월계역,846.0,59.94,특올수리 거실폴딩도어 학교 이마트인접 주거환경양호,"['25년이상', '융자금없는', '올수리', '방세개']",복도식,1,4,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 월계동 322-1&service=opensearch,https://fin.land.naver.com/articles/2440265753
37.569632,126.815865,24.08.09.,신동아,40000,1995,224,9호선,신방화역,275.0,84.81,9월말 입주가능 전체 샷시까지 전체 올수리된집,"['25년이상', '융자금없는', '올수리', '역세권']",계단식,1,8,15,남향,3,2,https://map.kakao.com/?q=서울시 강서구 방화동 796&service=opensearch,https://fin.land.naver.com/articles/2439144433
37.630074,127.062618,24.08.13.,성원4단지,30000,1995,713,1호선,월계역,846.0,59.94,"2년전 올수리, 이미트트레이더스 옆, 월계역","['25년이상', '융자금없는', '올수리', '방세개']",복도식,0.54,2,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 월계동 322-1&service=opensearch,https://fin.land.naver.com/articles/2439731146
37.597607,126.907249,24.08.13.,현대2차,36000,1994,380,6호선,응암역,994.0,84.83,새절역도보가능  3년전 올리모델링한 집,"['25년이상', '방세개', '화장실두개', '주차가능']",계단식,0.71,2,19,남향,3,2,https://map.kakao.com/?q=서울시 은평구 신사동 355&service=opensearch,https://fin.land.naver.com/articles/2439757083
37.66662,127.03988,24.08.05.,거성학마을,30000,1994,347,1호선,방학역,659.0,59.99,"방학역세권,올수리해줌.발코니3,지하2층주차장,모든대출가능","['25년이상', '융자금없는', '올수리', '방세개']",계단식,1,7,17,동향,3,1,https://map.kakao.com/?q=서울시 도봉구 방학동 701-15&service=opensearch,https://fin.land.naver.com/articles/2438384611
37.60404,127.09525,24.08.15.,성원,35000,1994,876,경의중앙,망우역,852.0,84.32,샷시포함 특올수리  입주빨라도 가능함,"['25년이상', '융자금적은', '올수리', '방세개']",계단식,0.66,8,22,동향,3,2,https://map.kakao.com/?q=서울시 중랑구 신내동 783&service=opensearch,https://fin.land.naver.com/articles/2440208511
37.678681,127.044242,24.07.25.,럭키,34000,1992,630,1호선,도봉역,315.0,84.86,올수리깨끗 정상입주,"['25년이상', '올수리', '역세권', '방세개']",계단식,0.85,5,15,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 도봉동 595&service=opensearch,https://fin.land.naver.com/articles/2436649009
