lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo,dates
37.512197,126.830912,24.08.23.,신정이펜하우스3단지,37000,2011,1339,,,,59.93,이펜중심단지 깨끗  입주협의,"['15년이내', '대단지', '방세개', '화장실두개']",복합식,1.1,저,15,남서향,3,2,https://map.kakao.com/?q=서울시 양천구 신정동 1316&service=opensearch,https://fin.land.naver.com/articles/2441572449,['24.08.23.']
37.657711,127.024065,24.08.23.,우성1차,33000,1992,658,,,,84.69, 좋은라인 상태 양호 하며 깨끗한 집 입주일은 협의 됩니다.,"['25년이상', '방세개', '화장실두개', '중층']",계단식,0.56,중,12,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 방학동 507&service=opensearch,https://fin.land.naver.com/articles/2441506688,['24.08.23.']
37.68706,127.04708,24.08.23.,도봉한신,35000,1995,2678,7호선,도봉산역,425.0,84.94,수리기본 긴정상,"['25년이상', '역세권', '대단지', '방세개']",계단식,0.91,5,17,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 도봉동 30-1&service=opensearch,https://fin.land.naver.com/articles/2441537035,['24.08.23.']
37.62928,127.05242,24.08.23.,월계주공2단지,30000,1992,2002,1호선,월계역,912.0,59.97,방3 특올수리 베란다확장,"['25년이상', '올수리', '확장형', '대단지']",복합식,0.39,10,15,남동향,3,1,https://map.kakao.com/?q=서울시 노원구 월계동 556&service=opensearch,https://fin.land.naver.com/articles/2441675321,['24.08.23.']
37.65514,127.03146,24.08.23.,쌍문미라보,28000,1995,142,,,,59.96,"숲조망,아이들키우기좋은집,학군굿,주변환경좋음","['25년이상', '1층', '방세개', '화장실한개']",계단식,0.92,1,15,남동향,3,1,https://map.kakao.com/?q=서울시 도봉구 쌍문동 160&service=opensearch,https://fin.land.naver.com/articles/2441661082,['24.08.23.']
37.65779,127.02538,24.08.23.,청구,37000,1994,978,,,,84.97,샷시교체수리 내부구조굳 편리성굳 선덕중고 5분거리,"['25년이상', '방세개', '화장실두개', '고층']",계단식,0.65,8,11,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 방학동 734&service=opensearch,https://fin.land.naver.com/articles/2441610160,['24.08.23.']
37.620037,127.009776,24.08.24.,벽산라이브파크,37000,2004,1585,우이신설,솔샘역,397.0,60.0,"가나추천,조정가,계단식.올수리.방1확.에어컨,10월2일이후협의가","['25년이내', '올수리', '대단지', '방세개']",계단식,1.18,중,18,남서향,3,2,https://map.kakao.com/?q=서울시 강북구 미아동 1354&service=opensearch,https://fin.land.naver.com/articles/2441766288,['24.08.24.']
37.657711,127.024065,24.08.26.,우성1차,33000,1992,658,,,,84.69,9월초부터 입주가능 특올수리 전망 학군좋은아파트,"['25년이상', '융자금없는', '올수리', '방세개']",계단식,0.56,8,12,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 방학동 507&service=opensearch,https://fin.land.naver.com/articles/2441893555,['24.08.26.']
37.681084,127.052805,24.08.26.,은빛1단지,30000,1998,1391,7호선,수락산역,402.0,59.95,남향 올수리 역세권 초품아 아이들 키우기 좋은집 생활권 좋은 대단지,"['25년이상', '올수리', '역세권', '대단지']",복도식,0.56,1,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1255&service=opensearch,https://fin.land.naver.com/articles/2442075664,['24.08.26.']
37.639109,127.041021,24.08.26.,창동한신(451),37000,1999,121,,,,84.92,11월 입주 가능해요.,"['25년이상', '융자금없는', '방세개', '화장실두개']",복합식,0.75,10,12,남동향,3,2,https://map.kakao.com/?q=서울시 도봉구 창동 451&service=opensearch,https://fin.land.naver.com/articles/2442129619,['24.08.26.']
37.61459,127.0735,24.08.26.,묵동한국,34600,1999,225,7호선,태릉입구역,524.0,59.64,전망굿 씽크대 화장실 조명교체 도배 신혼강추 먹골역 중랑천 이마트 은행,"['25년이상', '융자금없는', '역세권', '화장실한개']",복도식,1.17,중,19,서향,3,1,https://map.kakao.com/?q=서울시 중랑구 묵동 378&service=opensearch,https://fin.land.naver.com/articles/2442097675,['24.08.26.']
37.30271,127.09736,24.08.26.,성호샤인힐즈,35000,2005,777,,,,84.98,"분당선 구성역 GTX,SRT 풀랫폼시피 호재 품격 있는 생활 인프라","['25년이내', '융자금없는', '방세개', '화장실두개']",계단식,1.26,5,10,남향,3,2,https://map.kakao.com/?q=경기도 용인시 기흥구 보정동 878-22&service=opensearch,https://fin.land.naver.com/articles/2442081950,['24.08.26.']
37.4064,127.15443,24.08.26.,목련마을SK,37000,1998,272,,,,59.93,"수리깨끗,남향,입주일협의","['25년이상', '융자금없는', '1층', '방세개']",계단식,0.97,1,15,남향,3,1,https://map.kakao.com/?q=경기도 성남시 분당구 야탑동 147&service=opensearch,https://fin.land.naver.com/articles/2442101164,"['24.08.26.', '24.07.26.']"
37.601124,127.094951,24.08.26.,건영2차,36000,1996,1113,경춘,망우역,321.0,74.9,망우역세권 남향 생활인프라 우수,"['25년이상', '역세권', '대단지', '1층']",계단식,0.81,1,23,남향,3,2,https://map.kakao.com/?q=서울시 중랑구 상봉동 63&service=opensearch,https://fin.land.naver.com/articles/2442034335,['24.08.26.']
37.62683,127.03046,24.08.26.,미아신구,35000,2000,105,4호선,미아역,508.0,84.9,미아역 7분. 화장실2.,"['25년이내', '융자금적은', '복층']",계단식,1.1,저,12,남향,3,2,https://map.kakao.com/?q=서울시 강북구 미아동 1352&service=opensearch,https://fin.land.naver.com/articles/2442012966,['24.08.26.']
37.46437,126.94072,24.08.26.,신동아,32900,1994,107,,,,84.3,인테리어예정 융자 없는 귀한 아파트 방3욕실2 반려동물 협의가능,"['25년이상', '융자금없는', '화장실두개']",복도식,1.13,중,18,남서향,3,2,https://map.kakao.com/?q=서울시 관악구 신림동 산28-9&service=opensearch,https://fin.land.naver.com/articles/2442098001,['24.08.26.']
37.573704,126.817635,24.08.26.,장미(도시개발1단지),32000,1994,387,5호선,방화역,736.0,59.04,9호선 신방화역 10분이내 햇살좋은 남향집으로 융자없는조건입니다,"['25년이상', '융자금없는', '방세개', '화장실한개']",복도식,1,9,15,남향,3,1,https://map.kakao.com/?q=서울시 강서구 방화동 841&service=opensearch,https://fin.land.naver.com/articles/2442119999,['24.08.26.']
37.597607,126.907249,24.08.27.,현대2차,35000,1994,380,6호선,응암역,994.0,84.83,새절역도보가능  3년전 올리모델링한 집,"['25년이상', '방세개', '화장실두개', '주차가능']",계단식,0.71,2,19,남향,3,2,https://map.kakao.com/?q=서울시 은평구 신사동 355&service=opensearch,https://fin.land.naver.com/articles/2442200746,['24.08.27.']
37.642059,127.019534,24.08.27.,수유벽산1차,30000,1993,1454,우이신설,가오리역,578.0,63.78,상태좋은 아파트 전세입니다,"['25년이상', '융자금없는', '역세권', '대단지']",복도식,0.77,2,15,동향,3,1,https://map.kakao.com/?q=서울시 강북구 수유동 205&service=opensearch,https://fin.land.naver.com/articles/2442311534,['24.08.27.']
37.64234,127.01276,24.08.27.,극동,33000,1992,574,우이신설,가오리역,562.0,71.3,남향으로환함 귀한1층전세 올수리,"['25년이상', '융자금없는', '올수리']",계단식,1,1,11,남향,3,1,https://map.kakao.com/?q=서울시 강북구 수유동 553-61&service=opensearch,https://fin.land.naver.com/articles/2442185475,['24.08.27.']
37.511144,126.83741,24.08.27.,푸른마을3단지,32000,2001,440,,,,59.99,"공원조망,융자무, 내부상태깔끔, 입주일협의가능","['25년이내', '융자금없는', '방세개', '화장실한개']",복도식,0.95,3,15,동향,3,1,https://map.kakao.com/?q=서울시 양천구 신정동 1283&service=opensearch,https://fin.land.naver.com/articles/2442202722,['24.08.27.']
37.511144,126.83741,24.08.27.,푸른마을3단지,35000,2001,440,,,,59.99,"융자무, 수리되어 내부상태깔끔, 입주일 협의가능","['25년이내', '융자금없는', '방세개', '화장실한개']",복도식,0.95,저,15,동향,3,1,https://map.kakao.com/?q=서울시 양천구 신정동 1283&service=opensearch,https://fin.land.naver.com/articles/2442212571,['24.08.27.']
